text,label
Love it. Just wish the translated word could be included as well.,positive
Has great features  but not for me anymore. This absolutely used to be an amazing tool. Unfortunately they went to video commercials  and they've become a huge resource hog and I am forced to clear my cache and close the app and unfortunately drains the battery way more than I can stand. It was fun while it lasted  Thanks but no more.,neutral
"Keeps poping up """"""""""""""""unfortunately Google play services has stopped"""""""""""""""" please fix""""",negative
Vey slow,negative
saravanan astrologer,positive
Sucks atm TOO SLOW LIKE WTF LAG,negative
Faster This ia verry nace app,positive
The new update with themes... i don't like that + voice calls,positive
Very good This app very enjoy,positive
I cant updet it.,negative
"Google Play Services Won't update  constantly """""""""""""""" waiting for network"""""""""""""""" for over 24 hrs now. Going to uninstall this mess bc I'm tired of it draining my battery for nothing!!""""",negative
Best sms app ever!!!!,positive
Was good but... Used to work but now crashes on backup,negative
On the way to the best launcher ever  unique in its own way,positive
Update with calling features,positive
I think this app outstands many other applications like whatsapp. Great file sharing features. Awesome channel and group features plus those stickers that you can personally provide. It all makes it a great app,positive
Great But needs dual sim support,positive
Awesome app FB is shutting down messenger. In mobile view  it crashes  in forced FB lite it still functions. Android 6 FB keeps getting no internet signal. 1st world problems.,positive
Dxtroydj,positive
Lag Lags on all Roms!,negative
Call future no have Waste,negative
Totally loved it,positive
I can't install it on my Samsung note 5 ...why?,neutral
Can't to redownload this app Why did it happen,neutral
Bad Shity,negative
Al Test,negative
My hungry shark world not open correctly but when I update it. It run correctly,positive
Cool .3. ....... Still here? I love the game but put no ads and make it the full game!,positive
Well designed Great content easily accessed through a well designed app. I just wish it kept track of episodes I've already listen to. Or was good about pausing and picking up where I left off.,positive
Great 👍 But why do people keep making stupid remixes of ur game 🙎,positive
Stupid I thought it would be awesome but its lame because its hard to move and dumb fighting animation srry for this comment but its true,negative
It's Working Now Thank you for your help!,positive
Best in class Only one that's worked for me,positive
Really good. An excellent app for managing tasks which deserves much wider recognition. Giving the big guys a run for their money.,positive
My Files Disappeared Tried to move a file and it just got dissappeared and was an important file  I'm done with it,negative
Super Dupper,positive
I'm so liking it,positive
Great game Very playable  good online community if you need help,positive
Original and still the best after all these years. 👉Best ringtone maker period👈,positive
It is asome,positive
Great idea  needs a lot of improvements. The idea and basics behind this app is great however things are broken  very broken. It's easy to report problems but difficult to navigate through the app looking at other reported problems.,negative
lon,positive
Piece of shite won't download to specific location where its supposed too,negative
Eshwar,negative
Nice Nice 💕,neutral
Rajou Asd,positive
Great idea. Very helpful.,positive
Super rrrrrr,neutral
Best kernel/system management app available Works flawlessly and has many more settings than most apps of it's kind. Always the first app I install on my devices!,positive
useful عااااالی,positive
Like app But my mobile was not downloading whn app to dwnld,positive
Finally  ftp server,positive
Sha,positive
All it did was scan. There were no options for anything else.,negative
Excellent After the Mar 6  2016 update (allowing us to pick specific Bluetooth devices for activation) this app has become truly useful. It works exactly as expected.,positive
This doesn't work tell me why please when I do every thing it ses error,neutral
Well made This free app is easy to use and has no ads. What I love is that you can easily download your podcasts and listen to them later. We do that all the time for road trips.,positive
Subhash,positive
Google play service Can't do without it!,positive
Awesome Kodi/5.1 Works great on my Motorola Moto X 2nd Gen on 5.1 Lollipop. Great work all others gave me issues but this app worked with out a hitch . A++,positive
Yes Fine,neutral
It's far much better with the username tool.. One does not need to have your contact and can still contact you!,positive
Nice and loved,positive
Every single website blocks the iP making it a pointless app,negative
Useles,negative
I HATE IT SO MUCH BUT I CAN'T STAP PLAYING IT!!,neutral
I will to try this app,positive
Deep Sir ye ek achi aap hai ..,negative
shrusti badachi it is useful i loved it 😍😍😍,positive
So far so good  but... I just installed it today  so will need to see how it performs over time. I like that it is very intuitive. The only improvement I could see is if it were possible to have a habit frequency on more than once a day. For example  I want to use this to form the habit of taking several workout breaks throughout my work day  but I could only input each break as a separate habit. This wouldn't give me a complete picture of the statistics on this habit. Other than that one point  this app seems very useful.,positive
Please add +1 volume feature I just installed the app and it works great! I'd change to this from pocket mal completely  but the main option i use atm is track my physical manga reading progress and as physical manga doesn't number chapters individually the +1 volume button is the only option i have anymore. Please add it!,positive
"inaccurate """"""""""""""""""""""""""""""""Fur"""""""""""""""""""""""""""""""" Elise shows errors: Three 16th notes and one 8th rest does not make a whole measure in 3/8 time. So you guys mispell the name of the song and write it incorrectly. Not something I would find useful in any capacity. Interesting concept though. Just needs some work.""""",negative
Superb its very useful to everyone,positive
I think it will work for me as I read from the other users it works well for them so I believe it will also work for me,positive
Showing error in htc desire 616 ???please make changes in binary??? Would not update binary...,negative
Audio meter Is it possible to add audio level meter on screen?,positive
Ibish,positive
We has been getting lots of support and information,positive
Why? Why??!,negative
Good performances,neutral
Well done!! No ads  accurate!!,positive
It's amezing,positive
How to delete this app?,negative
Superd......,positive
Hate it  unusful,negative
This app would be great if it worked. sometimes the downloads work  then for no reason you aren't able to download. goes into paused status for no reason. very inconsistent  I'D never ever pay for VPN unless consistency improved.,negative
Hiy Good game,positive
Its Ok But... Uses to much RAM and drains battery life very quickly...,neutral
Prefer myne former,negative
Date it is slow,positive
Awesome app  easy to use,positive
good but... its has my favorite show but I know I'm stupid for this but how do I watch it? its just give me details about the show pls help :(,positive
Only saves outgoing messages ? Otherwise this app is great!,neutral
Cannot update,negative
Nice. Google..,positive
Slick Rotating Wallpaper Great Live Wallpaper with many options to show either the classic wallpapers included or those of your own choice.,positive
K-9 mail Rubbish it just allows you one email,negative
Dont download This app only gives out incorrect codes  even when synced properly.,negative
50 Its OK,negative
Love the update!!! My NYtimes puzzle finally loads without a hiccup! :),positive
It's awesome Once you know how to put the bios files on the right location.,positive
More features needed Like offline sms ;2 way wallpaper;call and video calls;new stickers,positive
Thanks Many Thanks to Wikipedia ch,positive
Keeps me connected to some of my favorite stations 24/7!,positive
Ok Love,positive
Google Nycccc,positive
Constantly crashes,negative
It works apart from automatic download which can be hit and miss,positive
DMT Day after day this app getting close to replace ES File Explore in my phone. Keep up the good work guys,positive
Got the right way Surely thus app is way mkre better than actual website and the group has made its best possible effort to bring best knowledge in best way to us no complains gor sure. Mkre fonts can be added otherwise nothing more,positive
Best habit tracking apps,positive
Good app Vrt nice,positive
Amezing apps,positive
Keshav solanki,positive
Liked it but problem Yeah this apps cool but i mistekly change something in prop editor and now i cant open apps all google apps are saying it has closed i need solution for it,positive
It's fast,neutral
This app drain battery and hanged on use,negative
Amarjyotibarman,positive
Good for common man Good for whether information,positive
Best It's still the best so far,positive
Getting much better - keep it up! As a longtime user of tomboy on Linux I need to have easy access on my Nexus Tablet. This now almost does it all. Congratulations. Synching still is not totally intuitive yet but getting better all the time with each new release.,positive
jabu sekoto,negative
Fancy!,positive
Brovo NPR Always on point never flash crash & shock distraction reporting that I think many intelligent people find degrading.,positive
Good App Very good for keeping conversations. I recently got a new phone and it was nice having all my old messages on it after I restored them from my gmail,positive
Offline doesn't work very well...numerical values are omitted in every articles,neutral
Graphically analyze phone storage usage,positive
Google TalkBack Fair Link Speed,positive
Geat app! This is the most awesome no root firewall! User friendly interface. I purchased the themes and it looks much better now! I just downloaded the github version of the app for the extra features! Thank you!,positive
"The app is nice and easy to uae. I just want to request to the developer  please add """"""""""""""""select all button"""""""""""""""" when deleting messages in a supergroup for administrators so that it would be easy to clear the threads. thanks""""",positive
One of the best ebook readers  now with great Material Design.,positive
A must have app This is an extremely useful tool.,positive
New dark theme ohmygosh yusssssss,positive
Drains my battery on Nexus 6P Installed  battery drains fast. Uninstalled  battery is normal. Repeated  same result. Anyone else have this issue?,negative
very cute !impressive,positive
Apps Lovely Google play,negative
The best app ever. Just wish all my WhatsApp contacts were on telegram,positive
Freezes It keeps freezing my phone at times then i have to remove my battery en when i turn my phone back on it tries to do somekind of switch,negative
Pretty pointless if I can't switch permissions off. Frustrating,negative
When there is good connection the app works great!,positive
Very Helpful.. I'm tired by copying web addressees those one of the browsers not support. With this app I can easily share a link and saves my time. Great that it's available for non-root users.,positive
Test xxx yyyyyy,positive
ramanondo,positive
Like it Really nice,positive
Frostwire Awesome!,positive
Al Ahm,positive
Krupal Great,positive
foul badddddd,negative
Excellent app Everything works really good  nothing to complain about  but could you explain a little further that new free force cards feature? Thank you so much,positive
Perfect Ussing it for a few months now... Boot with phone  VPNS all work bridges too  also lets you config your entrance/exit nodes witch is fooking awsome... Never crashed on my Sony z1 nexus 7 npr sumsung s2 also fine in androi 6x,positive
@manik safaya Its nice awesome graphics needed some improvements still I liked it,positive
Amazing balance of form and function. A must have for rooted devices.,positive
OS monitor Needs to further explain or give resourse for lamen,neutral
Just installed on new galaxy tab s3 with android 7 nougat. A lot of European maps are incompatible. They download but won't index. Needs sorting  always been fine on older androids.,positive
Buen control remoto Cómodo y rápido. La posición de los botones es un poco incómoda  pequeños y demasiado juntos.,positive
Fucked app,negative
Fix gifs I have a nexus 6p with Android 7.1. Seriously please fix gifs  I love this app but I need gifs to work,neutral
Improve performance This is an awesome app. Plz make it more beautiful to be more successful.,positive
Buat free call/video call macam WhatsApp,positive
Fine I personally don't care for it. Too small,positive
doesn't work,negative
How much time should we wait to use voice & video calling on Telegram ???,positive
The think is it doesn't work properly for my device xolo q 3000....... Android kitkat version it very slow at playing a game........ Plzzz make sure to fix its bugs plzzz............,neutral
Make a note of it people The best than Google for answers . Use it u will come to know,positive
I have play need for speed in it very good graphics,positive
Amazing app I love this app the only problem is  it takes much RAM. Even recommended this to my friends and they loved it. Thumbs up!,positive
Its super but not fast ya lol my number 0715728535 bla bla Juszssskd,positive
Noob You are 1st Stupid at world,negative
Wonder ful,positive
Because every time you do factory reset it's tell us to update the app,negative
Amazing Never seen such an amazing cms! Great guys! Wish you all the I can ;),positive
Md Raju Nice aap,positive
How in the world I disable or throw this annoying app to the moon. Tires of that voice  I don't need it. Heeeeeelp 😡,negative
Good apps I love it!,positive
Perfect app. Would pay for this. The dev should make a donation app that's more than $2 - I would buy it.,positive
It is fast and explain everything,positive
Varey happey,positive
Maybe add a bookmark feature. It would really help.,positive
Qie Hs,positive
Not saving For some reason is only saving my messages. Not the other persons. Help??,negative
Speak only what I want! I only want the feature to have my caller-id and hangouts and whatever alerts it actually sends me  if it actually starts working! Nothing else  but  instead we're forced to get everything announced to us to the point it's useless!!! Even if you attempt to turn off certain features  it overrides your settings and WTF good is this?!?,negative
Only option for android Better than csip doesn't make it the best. It needs to be optimized to use little less resources and should ideally integrate well with the android OS,positive
a good idea but im not blind so useless for me,negative
Still down downlading  can't comment yet..,neutral
Rupee symbol yet not found in this whereas other keyboard apps implemented for indian language keyboards. When do you implement Indian Rupee symbol in Indian Language keyboard pligins?,positive
I like it....,negative
How do you downloude games,neutral
Em,neutral
Could be better You know what would switch me over from Authy? If you synced these codes to my account. I flash ROM all the time on my phone and without the features of Authy  ID have to redo my 2FA all the time. Why don't you guys have this feature?,negative
Atif Atif,negative
All in bold in this update This is the best Flashcards app. But that last update is showing all cads font in bold.,negative
Superbb This app is very good,positive
Sorting fail Like many implementations it screws up sorting. Sorting should be case independent. Other than that ok.,positive
Ebas Good,positive
saiful mahin saiful mahin,positive
Good Does everything needed   good app,positive
Intrusive Read and Manage my gmail account wth.,negative
Helpful Extremely easy to use  and helps you to find the constellations you may want to find  or are looking at.,positive
Does not have tab function yet!!! I use other unofficial apps just for tabs!!! Please add tab !!!,positive
Good application but as failed to update,positive
Only a waste of time. I installed this useless app  but it didn't work at all,negative
Like it... But When i move a file or folder it crashes,neutral
Works like a dream Managed to sort out a rapidly discharging phone with this app. Better battery life than I've ever had now. Worth the money.,positive
goolge my goolge service playe have plabmen,negative
Loved it I like how they are fighting skill the classes and items.I think you should add some follower that can help you or add classes call summoner.He has skill to summon skeleton. That should be great when in combat.,positive
Best app Sumeet,negative
Kjss Kumar,positive
Rahul 8933.rp2,negative
Fix armor builder Ples ?,positive
Error code - 505 Wake locked my phone on the last update. Just error coded out. Been using it for years.,neutral
Great notification/lockscreen app. Really like it  thank you,positive
Nice if it worked,negative
Wait for update s5 and note 4 users Crashes on s5 and note 4 every time a game is opened,negative
Everything ok,positive
R.k. Use full,positive
Right app This app work rightly,positive
This app completes the pebble experience Can't praise this app enough  there have been bugs along the way but overall this app takes my pebble from useful to indispensable. Good work love it!,positive
Best The fast apps,positive
Tablet needs to rotate What a waste have to use this apt in portrait only. If would think all apps would rotate,negative
Dropbox a joke No matter what I do I can not share with Dropbox  Doent work  really needed to transfer to new phone,negative
Black hole? Love it!! The best and with so many planets! One small thing-when I wake the phone with the home button instead of planet there is a black hole. If I wake it from the side button all works.,positive
Mr.z,positive
👏 One of my favourite keyboards.,positive
It is taking huge storage,negative
Messenger Cant be better than WatsApp,positive
Works well one question. What does tell standard world setting mean?,positive
Go with the flow Im just joining the resistance... Wooh horaaa I supposed??,negative
Kept shutting off then when reconnecting it repeated the same stories over & over. Didn't stream continuously.,negative
Best of it's Kind,positive
I couldn't sign up How do u sign up,negative
Industry of Apps...faster than...plane...,positive
Link to Im instead of messenger? Can the default messages be rerouted to Im for example?,positive
Concise  handy  no extra graphics Gives all the info it takes to pin point disk hogs  and shortcuts to ways to handle them  all in one glance.,positive
Cool This app was cool,positive
**edit** SU is here now :),positive
Help So how do you get the games for the emulator...iso file ore something different?,neutral
Shadat. Hossain Rabbt SR,positive
Awesome It may seem bad but is very helpful,positive
Mr Working so nice,neutral
Does not work correctly Usually I can count on Google for quality  but this is perhaps Google's biggest flop. I frequently have to disable gp services  or uninstall updates to fix problems.,negative
Love this app... Though it's downsides are the word of the day & random word generator if you want to expand your vocabulary words you use daily/regularly aren't of much use as there doesn't seem to be any great diversity Thanks for a prompt reply Carmen This app has now become what it promised to be and more I'm impressed and look forward to future updates 👍spot on Re downloaded and also Re edit as I said I would,positive
It didn't play ps3 games like budokai 3,negative
Orbot This sucks.not even connecting. Not worth two cents.,negative
recording option is there a way to record? also  if there's a way to control what points get detuned  and to what notes (like what all pop vocalists do with their vocals now days)  I could give it 5 star!,neutral
9c,positive
It's ok My only complaint is that I suddenly have like 30 songs on my music that I didn't download so I can't download anything else now and that it's mainly the mainstream music pls fix this,neutral
Not bad Sonetimes app dont provide meanings for joint words,neutral
It was fabulous It is use so many game,positive
Harrasment I allowed my 7 year old son to download this application. WORST MISTAKE EVER. Last week my best freind passed away. Right away he presses the trombone button. But that is just the beginning  I gave a speach while running for mayor and afterwards he pressed the cricket button. I did not get a single vote. I have recently sold my son into child slavery because of these events. I hope I am the last to suffer like this.,negative
Fantastic Great Help,positive
Great app Sorry am uninstalling   Please add a call function ..,positive
Its really 👍 app 😀💗❤💚💜💙💛💖💬,positive
this is for termux float i bought it and i refunded it bc it kept on force closing on me idk why!,negative
Happy Jake's,neutral
Grateful for this type of security,positive
I alone,positive
Sweeeeeet Good app  thanks.,positive
Pinoyboldmovies,positive
GOOD LOL APP,positive
It is the program that work your phone good,positive
Telegram Its very much interested to use then watsapp All plz install this app I installed this app being a indian bcz this app is created by india....,positive
I must admit I liked this as It shows what Google play can do great potential I would say though that it takes a long time to download,neutral
Loved Excellent,positive
Talk impulse Seeing as I am not blind I was wondering how to make it turn off after accidentally turning it on,negative
Allows precision I love taking snippets of music or sound files and whittling them down to make the perfect ring tone for all my special contacts.,positive
"Great software  very useful! Great piece of software! Thank you for this. One problem though. I cannot see activity list on my redmi mi2. It says """"""""""""""""""""""""""""""""Failed to load feeds"""""""""""""""""""""""""""""""". Can you please fix this?""""",positive
Says other words when you go to speak won't let me get it off my phone I hate it,negative
Good Needs some UK based crossword sources.,neutral
Make new features available and it is quite uncomfortable to use. I would suggest not to download this app.,negative
"Used to work... This was such an awesome app  but all of a sudden  I'm getting the """"""""""""""""""""""""""""""""XOAuth authorization"""""""""""""""""""""""""""""""" error. I have not changed any settings on my Gmail account  nor on this app. Please advise. Thanks.""""",negative
not work most app without this,positive
Overwhelming,positive
عالیست دست مریزاد فوق العاده است Please wright its change .,positive
I love it!!! Fifa 16 is great on this!!! Black ops too!!,positive
I loooooooovvvveeee this application,positive
Wtf I also dont get it as i enterded the ip address and the code and then started coc it didnt respond plz i req you help me i wonna play it,negative
Ramrao,positive
Not bad... Wish it had an option to display a compacted list of blog posts  so you can see at-a-glance what's coming up and what's just been posted. Also annoying that you have to add authentication to upload blogs on insecure WiFi. No other app requires this.,neutral
Very good and bad,positive
Works. Even on Android N.,positive
Love it! Have had zero issues with it,positive
Very Good But  I %100 agree with Lucia Carpenter about some details & missed information  for people who are not familiar with each & every tweak. Who can benefit from this app ? Except being/having a rooted phone! What are some of advanced options? Which one is sensitive tweak ? Thanks in advance,positive
Superb! High quality app,positive
Loved very much,positive
GETS STUCK It downloads then it installs then it gets stuck at 100%,negative
Andors trail updates Ummm really need the updates for the mission to find his brother been playing for ages and up to the point where I can only just kill monsters,positive
Yss Thanks,positive
Pretty good  but needs further development.,neutral
I hate it It always taking my data,negative
Amazing superb.,positive
Bablu Please update,negative
Simply the best! No need to search for on/off button. Simple tap and its there to show your way. **********10stars. Thanks to this app developers for making my handset more useful.,positive
Use ful Joyfull,positive
Meh... It's running YouTube I love YouTube.,neutral
Love every thing about it,positive
Dear Devs. Thank you for reminding of animal cruelty. I will donate if God willing soon. Please add personal email signature support and K9 ends all competition effective from moment I can send a professional work email. Thank you very much.,positive
So far so good. It works as advertised. I have not used any of the advanced features yet so holding off on 5-stars for the moment  but my Android 6.0 and Gmail synced up my SMS messages with almost no effort.,positive
Wow!!! What a excellent app,positive
file manenger,positive
I need to create PDF form yourself chat and private chat..Mobogram save and keeps changing photo profile this is very very bad...,negative
Good Woooooow,positive
Supper Thanks...!,positive
It was OK  but For the last two weeks it won't allow opening messages (the app just closes each time I try) on both tablet or smartphone  which renders it useless really. I've reported the issue 3 times and had no reply. Time to uninstall. Goodbye,negative
This app has been a life saver. Been using this app since the original android G1. I can't understand why phones don't have this standard and built in. Makes them all look stupid. But this app is perfect and simple. Nice to see updates coming out too to show devs are still on top of it.,positive
Am gta liberty city pe asta,positive
The royal jat Jat,positive
Mobile OPPO N5111,positive
missing the feature of voice and video calling. more emoji too...,positive
Thank you Thank you Thank you Great program ! Been searching for so long ! Highly recommended !,positive
Loved it... A few suggestions... Try making this... Plz remove the item degrading features... It's kinda Annoying... That's all... Also I would not kill you even if u add some adds. Make it so that u get enough money to keep updating and donations remove adds. That would surely help u bring more content. But don't do too much adds. Just the right amount.... :),positive
I can't update my GooglePlay services  help me please. Thanks !,negative
Sp Patil,positive
Suppeerr Very useful apk,positive
Karthick,negative
Works well but hard to get working,positive
Session,positive
Si Bueno,positive
Title It was very easy and now i can sing in to YouTube!i mean sign in:-\,positive
Already feels secure,positive
Worked fine on Moto G but not on Redmi Note 3 I am a user of BatteryBot for many years  and used to work like a charm. But on my recent device (Redmi Note 3 - running on MIUI 7/Lollipop) the notification area at the top of the screen only shows a static BatteryBot battery icon  but no percentage number. I have checked and verified all settings - the same version with same settings works perfectly on my Moto G (stock Lollipop). Please fix this asap - you deserve 5 star otherwise!,neutral
I love this...Great for a beginner like me  the only thing is does this sync with other Android's? I had to do a reset and I can't get it back to where I left off.,positive
This good but for me is problem in update,positive
Task apo Awesome,positive
pushpa shrma wifi map,negative
Good. I liked it,positive
I can secure my account very well,positive
best browser ever its really safe and cool it even has its own widget,positive
U can improve it.. ! Instead of the 'editor' you could have added 'rotate' and 'crop' separately..! And load time is slower.. Change the 'Icon' .. it's not so good to see!!,positive
Çox gözəl və önəmli di,positive
Po Po,positive
Awesome app Accessing and controlling downloads has never been made this easy. Thanks.,positive
Not as good as mentioned I like this app for its clean and beautiful UI  but there are minor bugs here. One of them is  for example  when new messages arrived  it doesn't show the lock sreen with this widget  even though I've set it as default home lock screen before. I need to swipe to show it. How can I set it as default home lock screen? And also as other people told is there are no security and use at all. It may be used just for fun and wasting our time trying to use the apps. Developer need to fix this all...,negative
Myery gff Oll upp,positive
Play Store Download,positive
Amazing You can find everything on here!,positive
Greatest crossword app! This is the reason I always get a phone with a slide out keyboard. I've had this app for a few years on several phones.,positive
owsam app...its work so good and owane protectione...me used it for chat with besty,positive
Need to add some security Please add option for pin code or pattern code to unlock..,negative
U3fjahat U3fjahat,positive
Interesting Im definetely look forward to updates to the frequency combinations.,positive
Has potential  but very buggy I use this app to listen to Morning Edition every day during my commute. It has served me fairly well  except for the following problems: -I would say about 60% of the time  especially on WiFi  the story I am listening to stops playing and skips to the next one when it is about 4/5ths played. -Maybe 20% of the time  especially when on a data connection that isn't ideal  the stories I listen to will buffer incorrectly and start playing somewhere in the middle  rather than buffering from the beginning.,neutral
Best I've ever tried Its so easy to use,positive
Game mechanics are very R&G dependant. Either not finding healing items or not knowing if your randomized potion/scroll will help or hurt. Moving to combat is clunky and often gives the ai a free swing. Fun but too much luck involved.,neutral
It's size is very large.....bt it is a very useful app,positive
Go for it,positive
Awesome This app is great,positive
Best as a free file manager 5 Star for being best. Its best file manager. Everybody should donate to this.,positive
Thanks!! Works great. Are there any bugs that disables the firewall? Or it works fluidly without any problems?,positive
Cannot install No explanation on how to install. Wasted app,negative
No option to change font size Font size is something that still can't be changed...looking forward for this feature in coming versions,neutral
App get closed when tried to share pictures on whatsapp,negative
Loved it Description of me loving it.,positive
Easy Setup,positive
Does not work on ATT S4,negative
Thin Dizzy vertigo,positive
The best I've used yet...,positive
Really cool but the name Linux shell launcher isn't that great as this is a linux app and there aren't any replica apps like MC file manager,positive
Uhm  I panicked when it called me and declined the call quickly. Now it doesnt call me and I cant get the code...,positive
Love it Helps me with my Japanese,positive
enable auto ip discovery and its a 5 star app!,positive
It disables fingerprint lock on note 5 and asks for pattern as additional security measure ... please suggest a solution!!!,neutral
Video calling......? Plz..........feature,positive
Rajesh Kumar,negative
Omg I find all the apps should be lika that one,positive
Takes too long time to download the map,negative
Great app Been using it a couple of years. Well worth !,positive
Maxamadalev musixon,negative
Poor service Not good enough,neutral
It's amazingly horrible.,negative
In all the game's simplicity  it is one of  if not the best  that I have ever played on mobile. Throwing you in  without any understanding of the game  you learn as you keep playing. It seemed merciless at first  but after years of playing  I have finally beaten the game with every class. Kudos to you  Watabou. I would say more  if not for the character limit on GPlay.,positive
Good I think if you implement scanning a qr code from gallery is good.,positive
SUMON nice,positive
Amatuerish So buggy. Rarely loads posts  fails to update posts  throws errors loading post categories  image uploads usually fail. It's clunky to use  the UI seems to be from 1997. Only has about a third of desktop features. I'd gladly pay if someone built this app properly  but this thing's a train wreck.,negative
Does not shows sent messages Does not shows sent messages in the conversation. only receive messages are visible. I need some solution for this,neutral
this is vry good for all.,positive
New update perhaps?,positive
Omg It sometimes doesnt work,positive
Works intuitively  as it should.,positive
Bug This app disabled my volume buttons on my Nexus 5x running Android 7.1.1,negative
Fantastic app. With it's help I could catch a dinosaur with my bare hands. Recommended for every time traveller.,positive
Spam,positive
Genial,positive
Really Confused about everything in this can't find image maker and I'm playing on my tablet,negative
Great! Awesome app have been using it for about 2 years now. Thank you!,positive
mrc good,neutral
Hated it My coc is not running.....,negative
Latest upgrade doesn't work App was working well till new upgrade. Can't ask ROM writers to upgrade ROM. Uninstalling.,negative
O star not spotted in phone,negative
Ratankumaree Ratankumaree,positive
Too many covers,negative
P.E.R.F.E.C.T.,positive
Akash Singh Akash Singh,positive
Ballance enquery,positive
Its easy to use i like it a lot. But if i download songs it downloads albums of the artist and they are unplayable.,neutral
Nice Thank you.,positive
Yeah free ftw pls further develop this app yea,positive
